"city","city_ascii","state_id","State","county_fips","county_name","lat","lng","population","population_proper","density","source","incorporated","timezone","zips","id","Total_Payments"
"Prattville","Prattville","AL","Alabama",1001,"Autauga",32.4604,-86.4589,35498,35498,405,"polygon",TRUE,"America/Chicago","36066 36067 36068",1840004086,13720
"Fairhope","Fairhope","AL","Alabama",1003,"Baldwin",30.5221,-87.8817,20935,20935,580,"polygon",TRUE,"America/Chicago","36532",1840002039,88200
"Robertsdale","Robertsdale","AL","Alabama",1003,"Baldwin",30.5533,-87.706,8784,6098,431,"polygon",TRUE,"America/Chicago","36567",1840014981,1960
"Foley","Foley","AL","Alabama",1003,"Baldwin",30.3987,-87.6646,33113,18288,221,"polygon",TRUE,"America/Chicago","36535 36530 36536",1840002084,50960
"Daphne","Daphne","AL","Alabama",1003,"Baldwin",30.6291,-87.8872,69065,25960,608,"polygon",TRUE,"America/Chicago","36527 36526",1840006178,35280
"Louisville","Louisville","AL","Alabama",1005,"Barbour",31.781,-85.5583,468,468,65,"polygon",TRUE,"America/Chicago","36048",1840003795,1767581.09
"Clayton","Clayton","AL","Alabama",1005,"Barbour",31.8822,-85.4604,2871,2871,163,"polygon",TRUE,"America/Chicago","36016",1840001251,58800
"Clio","Clio","AL","Alabama",1005,"Barbour",31.7085,-85.6109,1476,1476,56,"polygon",TRUE,"America/Chicago","36017",1840014926,5880
"Centreville","Centreville","AL","Alabama",1007,"Bibb",32.9597,-87.1334,2680,2680,109,"polygon",TRUE,"America/Chicago","35042",1840007089,47593.87
"Woodstock","Woodstock","AL","Alabama",1007,"Bibb",33.2194,-87.1489,4094,1596,87,"polygon",TRUE,"America/Chicago","35188 35111",1840016895,109760
"Oneonta","Oneonta","AL","Alabama",1009,"Blount",33.9392,-86.4929,5432,6638,162,"polygon",TRUE,"America/Chicago","35121",1840005206,23520
"Cleveland","Cleveland","AL","Alabama",1009,"Blount",33.9965,-86.5671,1308,1308,64,"polygon",TRUE,"America/Chicago","35049 35121",1840016718,2326575.58
"Hayden","Hayden","AL","Alabama",1009,"Blount",33.882,-86.7839,1348,1348,129,"polygon",TRUE,"America/Chicago","35180 35079",1840015601,5880
